DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
04/09/2019 06:30,2695,2194,All Island
04/09/2019 06:45,2726,2320,All Island
04/09/2019 07:00,2604,2387,All Island
04/09/2019 07:15,2646,2378,All Island
04/09/2019 07:30,2687,2448,All Island
04/09/2019 07:45,2729,2521,All Island
04/09/2019 08:00,2778,2554,All Island
04/09/2019 08:15,2833,2509,All Island
04/09/2019 08:30,2888,2535,All Island
04/09/2019 08:45,2942,2585,All Island
04/09/2019 09:00,2967,2747,All Island
04/09/2019 09:15,3006,2758,All Island
04/09/2019 09:30,3044,2831,All Island
04/09/2019 09:45,3082,2885,All Island
04/09/2019 10:00,3129,2874,All Island
04/09/2019 10:15,3185,2911,All Island
04/09/2019 10:30,3241,2975,All Island
04/09/2019 10:45,3297,3041,All Island
04/09/2019 11:00,3341,3044,All Island
04/09/2019 11:15,3374,3007,All Island
04/09/2019 11:30,3407,2939,All Island
04/09/2019 11:45,3440,2930,All Island
04/09/2019 12:00,3470,2835,All Island
04/09/2019 12:15,3496,2783,All Island
04/09/2019 12:30,3522,2863,All Island
04/09/2019 12:45,3548,3084,All Island
04/09/2019 13:00,3609,3142,All Island
04/09/2019 13:15,3638,3147,All Island
04/09/2019 13:30,3666,3175,All Island
04/09/2019 13:45,3694,3164,All Island
04/09/2019 14:00,3719,3132,All Island
04/09/2019 14:15,3740,3179,All Island
04/09/2019 14:30,3761,3203,All Island
04/09/2019 14:45,3782,3164,All Island
04/09/2019 15:00,3784,3148,All Island
04/09/2019 15:15,3765,3156,All Island
04/09/2019 15:30,3747,3183,All Island
04/09/2019 15:45,3729,3119,All Island
04/09/2019 16:00,3715,3145,All Island
04/09/2019 16:15,3707,3185,All Island
04/09/2019 16:30,3699,3181,All Island
04/09/2019 16:45,3691,3164,All Island
04/09/2019 17:00,3668,3182,All Island
04/09/2019 17:15,3628,3161,All Island
04/09/2019 17:30,3589,3176,All Island
